Page total likes;Type;Category;Post Month;Post Weekday;Post Hour;Paid;Lifetime Post Total Reach;Lifetime Post Total Impressions;Lifetime Engaged Users;Lifetime Post Consumers;Lifetime Post Consumptions;Lifetime Post Impressions by people who have liked your Page;Lifetime Post reach by people who like your Page;Lifetime People who have liked your Page and engaged with your post;comment;like;share;Total Interactions
129600;Photo;2;7;7;11;1;2602;4349;479;444;588;3342;1946;287;1;53;14;68
129600;Photo;1;7;7;6;1;5848;9068;622;570;795;6651;4212;383;4;71;10;85
129600;Photo;1;7;6;11;0;26944;43464;877;740;1097;20270;10208;563;6;194;34;234
129600;Photo;3;7;6;5;0;5292;9321;756;646;1033;5867;3404;516;6;226;42;274
129600;Status;2;7;5;12;1;15576;27513;2417;2327;3098;19078;10840;1839;11;238;51;300
129600;Photo;3;7;5;3;0;54256;82011;1620;963;1419;42128;24224;977;10;755;58;823
129600;Photo;2;7;4;12;1;3726;6372;602;574;785;4760;2852;399;30;47;8;85
129600;Photo;1;7;4;6;1;31904;50539;863;770;1106;24010;12992;583;2;126;32;160
129600;Photo;1;7;3;13;1;40336;65309;1407;1330;2251;27771;14848;907;4;104;10;118
129600;Photo;2;7;3;1;0;4220;7774;685;597;838;4404;2326;407;10;167;26;203
129600;Photo;3;7;2;13;0;4666;8360;729;648;1014;5010;2818;459;9;152;41;202
129600;Photo;2;7;2;7;1;4274;7948;701;638;1020;5936;3164;460;0;128;15;143
129600;Photo;1;7;1;13;0;28208;41650;964;827;1237;18035;11120;636;13;234;43;290
128032;Photo;2;7;1;3;0;3330;5461;513;478;652;3675;2196;307;2;61;16;79
128032;Photo;2;7;7;11;1;3528;5918;550;513;787;4606;2660;360;0;66;9;75
128032;Photo;3;7;7;3;0;38576;55398;1355;890;1328;17365;12624;827;7;529;60;596
128032;Photo;3;7;6;13;1;2628;4264;528;503;652;3086;1846;328;3;42;10;55
128032;Photo;1;7;6;3;0;7232;12735;758;700;1236;8855;4712;471;2;75;24;101
128032;Status;2;7;5;10;0;10188;16978;1473;1441;2136;14450;8536;1395;13;61;13;87
128032;Photo;1;7;5;3;0;6408;11881;909;861;14974;7243;4040;490;26;162;7;195
128032;Photo;1;7;4;9;1;3414;6050;515;493;710;5005;2704;340;2;47;4;53
128032;Photo;2;7;4;5;1;53056;65260;2003;1412;2089;23679;17104;975;6;696;28;730
128032;Photo;1;7;3;10;1;66976;111502;1191;1054;1641;40203;19968;708;7;215;47;269
127082;Photo;1;7;3;3;1;76096;94644;2889;2495;4596;31096;19744;1276;22;534;31;587
126424;Photo;3;7;4;12;0;5458;9098;1007;933;1181;5307;3204;537;1;143;27;171
126424;Photo;2;7;4;3;0;3706;6194;895;884;1173;4700;2726;493;18;46;7;71
126424;Status;2;7;3;13;0;18320;31448;3742;3682;7854;25584;14920;3300;36;98;14;148
126424;Photo;3;7;3;4;1;2316;3611;722;716;862;2545;1529;372;0;25;5;30
126424;Video;1;6;2;13;0;139008;277100;1779;1643;2356;107502;38720;1008;23;204;44;271
126345;Photo;1;6;2;9;1;5854;11854;1043;947;19779;5901;2894;583;11;202;5;218
126345;Photo;1;6;2;3;0;109056;191324;2552;2457;4906;48765;25024;1353;7;148;39;194
126345;Photo;2;6;1;12;0;3212;4908;735;720;897;3399;2162;375;1;40;8;49
126345;Photo;2;6;1;4;0;3046;4909;909;872;1147;3559;2126;477;1;71;17;89
126345;Status;2;6;7;11;0;12044;20327;2240;2193;3599;17717;10400;2119;0;104;13;117
126141;Photo;1;6;7;4;1;9652;16968;1400;1381;2801;15917;8972;1035;1;34;4;39
126141;Photo;1;6;6;12;0;28112;47721;1631;1537;2438;41207;23440;1225;11;129;12;152
126141;Status;2;6;6;4;0;8628;14847;870;843;1692;11970;6796;774;4;72;18;94
126141;Photo;1;6;5;11;1;2431;4180;389;383;7980;3963;2301;342;0;15;3;18
126141;Photo;1;6;4;22;1;20560;24112;936;860;1126;5648;3856;460;14;102;9;125
126141;Photo;1;6;4;12;0;20896;29062;1418;1038;2048;19738;13656;998;103;469;33;605
125612;Photo;1;6;4;11;0;2402;4072;170;145;286;3147;1794;137;5;57;5;67
125612;Photo;1;6;4;7;0;1729;3289;596;591;735;2888;1406;340;0;23;2;25
125612;Photo;2;6;4;3;0;4320;7127;753;681;1021;4569;2782;459;5;141;26;172
125612;Photo;1;6;3;11;0;2585;4410;569;560;781;3802;2144;348;0;19;5;24
125612;Photo;2;6;3;3;0;3322;5969;610;569;852;4111;2236;375;1;71;23;95
125612;Photo;1;6;2;13;0;3600;5807;691;656;913;3351;2110;436;0;72;21;93
125612;Photo;1;6;2;2;0;11620;21564;1160;1138;2042;20024;10568;920;5;54;7;66
125612;Photo;3;6;1;14;0;4248;7004;724;671;920;5063;3114;501;5;93;19;117
125612;Photo;3;6;1;3;0;2763;4388;564;523;650;3519;2124;375;0;62;10;72
125612;Photo;2;6;7;11;0;3558;5396;621;568;775;3708;2392;403;0;78;16;94
124940;Photo;1;6;7;4;0;8324;14480;840;834;1388;13786;7736;662;0;14;1;15
124940;Photo;2;6;6;9;0;6952;11469;909;779;1229;7431;4292;646;11;231;43;285
124940;Photo;3;6;6;2;1;2823;4955;552;503;622;3579;1966;348;1;72;16;89
124940;Photo;1;6;5;13;1;63840;102620;1382;1229;1871;32470;16480;760;9;197;28;234
124940;Photo;3;6;5;3;1;11608;15323;985;705;940;8419;5840;594;4;330;29;363
124940;Photo;1;6;4;12;0;58304;80871;884;715;1034;2289;1408;340;0;148;7;155
124940;Photo;3;6;4;2;0;4762;8303;842;725;1014;6086;3494;569;2;208;28;238
124940;Photo;2;6;3;13;0;6150;10217;750;676;969;6253;3742;445;12;148;28;188
124940;Photo;3;6;3;3;1;4644;8178;768;683;1000;5651;3144;506;4;154;26;184
124940;Photo;3;6;2;13;0;22464;29650;1029;934;1408;9376;6864;546;3;142;18;163
124940;Photo;3;6;2;3;0;3754;6295;791;730;1072;4343;2590;482;8;107;20;135
124940;Photo;1;6;1;13;0;4452;7998;666;658;948;7037;3768;397;0;22;3;25
124940;Photo;3;6;1;3;0;3576;5525;664;618;870;4229;2672;403;2;84;13;99
124940;Photo;3;6;7;10;0;3028;4794;579;548;740;3574;2184;349;2;59;12;73
124940;Photo;3;6;7;3;1;4022;6503;647;616;995;5416;3312;423;3;65;14;82
124940;Photo;1;6;6;12;1;52736;73584;1635;1622;2824;18580;10144;876;0;24;4;28
124940;Photo;3;6;6;4;0;47376;70212;1557;1426;2051;22710;13344;697;9;186;23;218
123047;Photo;3;6;5;12;0;3234;5113;756;724;937;3476;2174;347;0;58;17;75
123047;Photo;2;6;5;3;0;3322;5553;702;656;863;3484;1968;328;2;74;14;90
123047;Photo;3;6;4;13;0;6768;11525;768;672;930;7048;4012;408;2;180;44;226
123047;Photo;2;6;4;5;1;11304;20647;1141;1065;1874;14792;7800;732;18;168;49;235
123047;Photo;1;6;3;11;0;13544;18474;759;733;1082;7326;4120;408;0;36;5;41
123047;Photo;3;6;2;13;0;3418;5659;581;546;770;4491;2620;327;2;51;6;59
123047;Photo;3;6;2;5;1;3662;6476;560;522;677;4930;2660;319;2;67;14;83
123047;Photo;3;6;1;10;0;56672;104966;2579;1334;1850;78678;37408;1831;20;1372;47;1439
123047;Photo;3;6;1;3;1;3294;5499;526;488;599;4658;2710;305;2;57;6;65
121540;Photo;3;6;1;3;0;3110;5405;732;712;892;4605;2540;342;2;33;10;45
121540;Photo;2;5;7;14;0;3806;6486;722;658;880;4955;2772;361;1;79;17;97
120050;Photo;3;5;5;9;1;3776;6736;577;529;719;4846;2614;371;3;97;22;122
120050;Photo;3;5;4;12;0;39040;55633;1684;1183;2123;32021;19712;1101;16;617;58;691
120050;Photo;3;5;4;4;1;4032;7278;684;607;848;4935;2644;432;7;139;34;180
120050;Photo;3;5;3;12;0;21248;34095;1049;918;1438;11280;6664;536;20;199;32;251
119198;Photo;3;5;3;5;0;4344;8025;692;626;872;4911;2528;367;1;107;26;134
119198;Photo;3;5;2;12;0;2718;4698;566;528;663;3601;1992;306;0;50;10;60
119198;Photo;3;5;2;1;0;3024;5630;596;560;721;4114;2098;341;0;64;20;84
119198;Status;2;5;1;2;0;10152;17099;1636;1599;2755;15382;8980;1613;2;55;10;67
